,Name,Year,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Zipcode
58,ZCTA5 77003,2015,39039.0,10438.0,32.7,28746.0,3987.0,77003
59,ZCTA5 77004,2015,47523.0,35739.0,28.1,30732.0,6905.0,77004
60,ZCTA5 77005,2015,166203.0,27187.0,38.0,94080.0,854.0,77005
61,ZCTA5 77006,2015,71158.0,21795.0,34.8,64474.0,2412.0,77006
62,ZCTA5 77007,2015,107580.0,33029.0,33.5,76163.0,3211.0,77007
63,ZCTA5 77008,2015,82058.0,31868.0,35.5,57264.0,2792.0,77008
64,ZCTA5 77009,2015,43830.0,39260.0,34.1,27669.0,10353.0,77009
65,ZCTA5 77010,2015,250001.0,809.0,42.7,181821.0,97.0,77010
66,ZCTA5 77011,2015,26922.0,19303.0,33.0,12052.0,6655.0,77011
67,ZCTA5 77012,2015,34891.0,20494.0,32.3,14606.0,5193.0,77012
68,ZCTA5 77019,2015,101297.0,20644.0,38.8,89050.0,1958.0,77019
69,ZCTA5 77020,2015,27052.0,26005.0,32.4,14361.0,9323.0,77020
70,ZCTA5 77021,2015,32800.0,26209.0,33.8,20908.0,7624.0,77021
71,ZCTA5 77023,2015,36065.0,28316.0,33.4,17652.0,7847.0,77023
72,ZCTA5 77025,2015,66559.0,28305.0,35.2,52829.0,2794.0,77025
73,ZCTA5 77026,2015,22242.0,22485.0,35.3,12222.0,9170.0,77026
74,ZCTA5 77027,2015,89276.0,15749.0,36.8,90319.0,939.0,77027
75,ZCTA5 77030,2015,71883.0,10279.0,32.6,61458.0,1330.0,77030
76,ZCTA5 77002,2016,68229.0,11861.0,33.9,34805.0,899.0,77002
77,ZCTA5 77003,2016,46267.0,10097.0,33.0,32771.0,3246.0,77003
78,ZCTA5 77004,2016,50681.0,36879.0,28.3,32140.0,6639.0,77004
79,ZCTA5 77005,2016,174153.0,27707.0,37.5,98397.0,883.0,77005
80,ZCTA5 77006,2016,80908.0,21849.0,34.9,66494.0,2055.0,77006
81,ZCTA5 77007,2016,113361.0,35185.0,33.6,77957.0,3156.0,77007
82,ZCTA5 77008,2016,88248.0,32588.0,35.5,60908.0,2299.0,77008
83,ZCTA5 77009,2016,47011.0,38019.0,34.5,30474.0,9905.0,77009
84,ZCTA5 77010,2016,250001.0,831.0,48.5,199424.0,70.0,77010
85,ZCTA5 77011,2016,29544.0,18558.0,32.9,13328.0,6154.0,77011
86,ZCTA5 77012,2016,34617.0,20534.0,32.0,14147.0,5340.0,77012
87,ZCTA5 77019,2016,102521.0,21067.0,38.4,92084.0,2169.0,77019
