,Name,Year,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Count Hisp/Latino,Counb Black/AfAm,Count AmIndian,Count Asian,Count White,Count Other Race,Zipcode
45,ZCTA5 77009,2014,45016.0,39361.0,34.0,27429.0,11033.0,26342.0,2891.0,88.0,326.0,9352.0,28.0,77009
46,ZCTA5 77010,2014,209063.0,724.0,43.6,187817.0,59.0,71.0,8.0,0.0,18.0,627.0,0.0,77010
47,ZCTA5 77011,2014,26953.0,19136.0,32.8,12038.0,6318.0,17880.0,181.0,8.0,30.0,983.0,25.0,77011
48,ZCTA5 77012,2014,35884.0,20991.0,31.7,13932.0,5866.0,19373.0,723.0,5.0,313.0,569.0,0.0,77012
49,ZCTA5 77019,2014,92844.0,20350.0,37.9,84344.0,1924.0,2659.0,1846.0,0.0,1464.0,14273.0,24.0,77019
50,ZCTA5 77020,2014,27871.0,26777.0,32.9,13926.0,8969.0,18787.0,6574.0,43.0,138.0,1120.0,68.0,77020
51,ZCTA5 77021,2014,32391.0,26036.0,33.7,20700.0,8006.0,4361.0,19373.0,50.0,478.0,1442.0,17.0,77021
52,ZCTA5 77023,2014,37361.0,29102.0,31.9,16120.0,8285.0,25426.0,638.0,28.0,294.0,2656.0,0.0,77023
53,ZCTA5 77025,2014,65524.0,27413.0,35.3,50989.0,2791.0,4475.0,3395.0,24.0,4133.0,14965.0,26.0,77025
54,ZCTA5 77026,2014,21335.0,23325.0,33.1,11650.0,10262.0,9363.0,13247.0,14.0,21.0,523.0,5.0,77026
55,ZCTA5 77027,2014,82038.0,15510.0,36.7,79308.0,881.0,2694.0,697.0,15.0,995.0,10884.0,51.0,77027
56,ZCTA5 77030,2014,71078.0,10664.0,32.5,58063.0,1393.0,1016.0,501.0,0.0,2685.0,6258.0,32.0,77030
57,ZCTA5 77002,2015,62089.0,11922.0,33.8,37196.0,922.0,3239.0,4105.0,20.0,282.0,4152.0,10.0,77002
58,ZCTA5 77003,2015,39039.0,10438.0,32.7,28746.0,3987.0,5320.0,2062.0,0.0,499.0,2378.0,5.0,77003
59,ZCTA5 77004,2015,47523.0,35739.0,28.1,30732.0,6905.0,4599.0,17667.0,0.0,3189.0,9358.0,329.0,77004
60,ZCTA5 77005,2015,166203.0,27187.0,38.0,94080.0,854.0,2153.0,1144.0,0.0,2903.0,20435.0,47.0,77005
61,ZCTA5 77006,2015,71158.0,21795.0,34.8,64474.0,2412.0,3708.0,945.0,6.0,1353.0,15365.0,15.0,77006
62,ZCTA5 77007,2015,107580.0,33029.0,33.5,76163.0,3211.0,7860.0,1582.0,166.0,2466.0,20120.0,167.0,77007
63,ZCTA5 77008,2015,82058.0,31868.0,35.5,57264.0,2792.0,9663.0,962.0,132.0,1447.0,18972.0,24.0,77008
